id,category,featured,name,description,detail,specs,price,label,image,visible
limited-fruit,limited,TRUE,季節水果鮮奶油蛋糕,當季水果搭配輕盈鮮奶油，適合週末與小型聚會。,使用柔軟戚風蛋糕、低甜度鮮奶油與當季水果堆疊。口感清爽，適合喜歡水果香氣與輕盈奶油的人。,尺寸：6 吋｜適合人數：4-6 人｜保存方式：冷藏 2 天內享用｜過敏原：蛋、奶、麩質,980,限時供應,assets/photos/product-fruit-cake.svg,TRUE
limited-earl-grey,limited,TRUE,伯爵茶焦糖蛋糕,茶香、焦糖與柔軟蛋糕體，保留大人系甜點的乾淨尾韻。,伯爵茶奶霜與焦糖香氣交疊，甜度溫和，適合下午茶、生日聚會或送禮。,尺寸：6 吋｜適合人數：4-6 人｜保存方式：冷藏保存｜建議提前 2 天預訂,920,新品,assets/photos/product-earl-grey.svg,TRUE
limited-chocolate,limited,FALSE,巧克力莓果小蛋糕,濃郁可可與莓果酸香，適合想要一點儀式感的下午。,濃郁巧克力蛋糕搭配莓果夾餡，入口有可可厚度，也有果酸平衡。,尺寸：小蛋糕｜適合人數：1-2 人｜保存方式：冷藏保存｜過敏原：蛋、奶、麩質,680,本週限定,assets/photos/product-chocolate.svg,TRUE
birthday-classic,birthday,TRUE,經典生日鮮奶油蛋糕,可放祝福插牌與文字，口味、尺寸與裝飾可依需求調整。,經典鮮奶油生日蛋糕，適合家庭慶生與小型派對。可依需求更換水果、插牌與祝福文字。,尺寸：6 吋 / 8 吋可詢問｜適合人數：4-8 人｜可加購生日牌｜建議提前 3 天預訂,1280,生日推薦,assets/photos/product-birthday.svg,TRUE
birthday-berry,birthday,FALSE,莓果花圈生日蛋糕,以莓果與奶油花裝飾，適合拍照、慶生與家庭聚餐。,莓果與奶油花圈裝飾，視覺感明亮，適合喜歡拍照與儀式感的慶生場合。,尺寸：6 吋｜適合人數：4-6 人｜保存方式：冷藏保存｜可客製祝福文字,1380,可客製,assets/photos/product-berry-birthday.svg,TRUE
birthday-cocoa,birthday,FALSE,可可雙層慶生蛋糕,濃厚巧克力風味，適合喜歡可可與堅果香氣的壽星。,可可蛋糕體搭配巧克力奶霜，風味濃郁，適合巧克力愛好者。,尺寸：6 吋｜適合人數：4-6 人｜保存方式：冷藏保存｜過敏原：蛋、奶、麩質、堅果,1480,濃郁系,assets/photos/product-cocoa-birthday.svg,TRUE
tart-lemon,tarts,TRUE,6吋檸檬塔,明亮檸檬酸香與酥脆塔殼，適合分享也適合當下午茶主角。,檸檬奶餡酸甜清爽，搭配酥脆塔殼。冷藏後享用口感最佳。,尺寸：6 吋｜適合人數：3-5 人｜保存方式：冷藏保存｜建議當日或隔日享用,560,6吋塔,assets/photos/product-lemon-tart.svg,TRUE
tart-berry,tarts,FALSE,6吋莓果乳酪塔,乳酪餡搭配莓果，酸甜平衡、口感清爽。,乳酪塔餡柔順，莓果帶來清爽酸香，是聚會分享很穩定的選擇。,尺寸：6 吋｜適合人數：3-5 人｜保存方式：冷藏保存｜過敏原：蛋、奶、麩質,620,6吋塔,assets/photos/product-berry-tart.svg,TRUE
roll-cream,rolls,FALSE,原味鮮奶油長條捲,蓬鬆蛋糕捲入滑順鮮奶油，是最耐吃的經典口味。,柔軟蛋糕體與滑順鮮奶油，簡單但耐吃，適合切片分享。,規格：長條捲｜適合人數：3-5 人｜保存方式：冷藏保存｜建議 2 天內享用,450,長條,assets/photos/product-cream-roll.svg,TRUE
roll-hojicha,rolls,FALSE,焙茶栗子長條捲,焙茶香氣與栗子甜味，適合喜歡溫柔茶香的人。,焙茶奶霜帶有溫柔茶香，搭配栗子甜味，適合秋冬與茶點時段。,規格：長條捲｜適合人數：3-5 人｜保存方式：冷藏保存｜建議提前預訂,520,季節款,assets/photos/product-hojicha-roll.svg,TRUE
